observation_date,CUSR0000SETA
2000-01-01,100.4
2000-02-01,100
2000-03-01,100.2
2000-04-01,100.5
2000-05-01,100.9
2000-06-01,101
2000-07-01,101
2000-08-01,101
2000-09-01,101
2000-10-01,101.1
2000-11-01,101.3
2000-12-01,101.7
2001-01-01,101.8
2001-02-01,101.8
2001-03-01,101.6
2001-04-01,101.6
2001-05-01,101.4
2001-06-01,101.3
2001-07-01,101.2
2001-08-01,101
2001-09-01,100.8
2001-10-01,100.9
2001-11-01,101.1
2001-12-01,101.2
2002-01-01,100.5
2002-02-01,99.7
2002-03-01,99.4
2002-04-01,99.2
2002-05-01,99.1
2002-06-01,99.1
2002-07-01,99.1
2002-08-01,99.2
2002-09-01,99.1
2002-10-01,99
2002-11-01,98.6
2002-12-01,98.4
2003-01-01,97.8
2003-02-01,97.7
2003-03-01,97.9
2003-04-01,97.7
2003-05-01,97.5
2003-06-01,97.3
2003-07-01,96.9
2003-08-01,96.5
2003-09-01,95.4
2003-10-01,94.7
2003-11-01,94.4
2003-12-01,94.1
2004-01-01,94
2004-02-01,94.2
2004-03-01,94.1
2004-04-01,94.1
2004-05-01,94.1
2004-06-01,93.8
2004-07-01,93.6
2004-08-01,93.4
2004-09-01,94.1
2004-10-01,94.4
2004-11-01,95.2
2004-12-01,95.3
2005-01-01,95.5
2005-02-01,95.6
2005-03-01,95.5
2005-04-01,95.5
2005-05-01,95.8
2005-06-01,95.8
2005-07-01,95.3
2005-08-01,95.2
2005-09-01,95.6
2005-10-01,95.7
2005-11-01,95.8
2005-12-01,95.7
2006-01-01,95.8
2006-02-01,95.9
2006-03-01,95.8
2006-04-01,95.9
2006-05-01,95.8
2006-06-01,95.9
2006-07-01,95.8
2006-08-01,95.7
2006-09-01,95.6
2006-10-01,95.4
2006-11-01,94.9
2006-12-01,94.7
2007-01-01,94.512
2007-02-01,94.286
2007-03-01,94.347
2007-04-01,94.293
2007-05-01,94.07
2007-06-01,93.979
2007-07-01,94.064
2007-08-01,94.285
2007-09-01,94.249
2007-10-01,94.313
2007-11-01,94.612
2007-12-01,94.65
2008-01-01,94.781
2008-02-01,94.528
2008-03-01,94.259
2008-04-01,93.991
2008-05-01,93.767
2008-06-01,93.553
2008-07-01,93.389
2008-08-01,93.001
2008-09-01,92.599
2008-10-01,92.245
2008-11-01,91.826
2008-12-01,91.562
2009-01-01,91.927
2009-02-01,92.225
2009-03-01,92.036
2009-04-01,92.346
2009-05-01,92.664
2009-06-01,92.87
2009-07-01,93.06
2009-08-01,92.814
2009-09-01,93.497
