observation_date,Loan rate
2000-01-01,8.88
2000-04-01,9.22
2000-07-01,9.62
2000-10-01,9.64
2001-01-01,9.17
2001-04-01,8.67
2001-07-01,8.3
2001-10-01,7.86
2002-01-01,7.8
2002-04-01,7.74
2002-07-01,7.58
2002-10-01,7.34
2003-01-01,7.11
2003-04-01,7.05
2003-07-01,6.76
2003-10-01,6.82
2004-01-01,6.72
2004-04-01,6.43
2004-07-01,6.55
2004-10-01,6.71
2005-01-01,6.86
2005-04-01,6.92
2005-07-01,7.08
2005-10-01,7.43
2006-01-01,7.39
2006-04-01,7.6
2006-07-01,7.95
2006-10-01,7.92
2007-01-01,7.74
2007-04-01,7.92
2007-07-01,7.82
2007-10-01,7.59
2008-01-01,7.27
2008-04-01,6.84
2008-07-01,6.92
2008-10-01,7.06
2009-01-01,6.92
2009-04-01,6.79
2009-07-01,6.61
2009-10-01,6.55
2010-01-01,6.45
2010-04-01,6.26
2010-07-01,6.24
2010-10-01,5.87
2011-01-01,5.85
2011-04-01,5.79
2011-07-01,5.89
2011-10-01,5.4
2012-01-01,5.07
2012-04-01,4.88
2012-07-01,4.88
2012-10-01,4.82
2013-01-01,4.69
2013-04-01,4.13
2013-07-01,4.46
2013-10-01,4.42
2014-01-01,4.23
2014-04-01,4.5
2014-07-01,4.16
2014-10-01,4.06
2015-01-01,4.53
2015-04-01,4.15
2015-07-01,4.09
2015-10-01,4
2016-01-01,4.17
2016-04-01,4.33
2016-07-01,4.25
2016-10-01,4.45
2017-01-01,4.52
2017-04-01,4.67
2017-07-01,4.42
2017-10-01,4.81
2018-01-01,4.74
2018-04-01,5.05
2018-07-01,5.05
2018-10-01,5.29
2019-01-01,5.5
2019-04-01,5.35
2019-07-01,5.27
2019-10-01,5.45
2020-01-01,5.29
2020-04-01,5.13
2020-07-01,4.98
2020-10-01,4.95
2021-01-01,5.21
2021-04-01,5.28
2021-07-01,5.14
2021-10-01,4.58
2022-01-01,4.87
2022-04-01,5.15
2022-07-01,5.52
2022-10-01,6.94
2023-01-01,7.46
2023-04-01,7.59
2023-07-01,8.3
2023-10-01,8.51
2024-01-01,8.57
2024-04-01,8.65
2024-07-01,8.63
2024-10-01,8.12
